title,genre,poster,rating
Inception,Action,C:\Users\ashwa\OneDrive\Desktop\movie recommendation\backend\inception.jpg,6.0
Titanic,Romance,C:\Users\ashwa\OneDrive\Desktop\movie recommendation\backend\titanic.webp,7.3
The Hangover,Comedy,https://example.com/posters/The_Hangover.jpg,8.6
The Matrix,Drama,https://example.com/posters/The_Matrix.jpg,9.0
Avatar,Horror,https://example.com/posters/Avatar.jpg,10.3
Forrest Gump,Sci-Fi,https://example.com/posters/Forrest_Gump.jpg,6.6
Interstellar,Thriller,https://example.com/posters/Interstellar.jpg,7.0
The Notebook,Action,https://example.com/posters/The_Notebook.jpg,8.3
Deadpool,Romance,https://example.com/posters/Deadpool.jpg,9.6
Joker,Comedy,https://example.com/posters/Joker.jpg,10.0
Up,Drama,https://example.com/posters/Up.jpg,6.3
Frozen,Horror,https://example.com/posters/Frozen.jpg,7.6
The Conjuring,Sci-Fi,https://example.com/posters/The_Conjuring.jpg,8.0
It,Thriller,https://example.com/posters/It.jpg,9.3
Annabelle,Action,https://example.com/posters/Annabelle.jpg,10.6
Star Wars,Romance,https://example.com/posters/Star_Wars.jpg,6.0
Avengers,Comedy,https://example.com/posters/Avengers.jpg,7.3
Iron Man,Drama,https://example.com/posters/Iron_Man.jpg,8.6
Captain Marvel,Horror,https://example.com/posters/Captain_Marvel.jpg,9.0
Doctor Strange,Sci-Fi,https://example.com/posters/Doctor_Strange.jpg,10.3
The Dark Knight,Thriller,https://example.com/posters/The_Dark_Knight.jpg,6.6
Finding Nemo,Action,https://example.com/posters/Finding_Nemo.jpg,7.0
Toy Story,Romance,https://example.com/posters/Toy_Story.jpg,8.3
Coco,Comedy,https://example.com/posters/Coco.jpg,9.6
Shrek,Drama,https://example.com/posters/Shrek.jpg,10.0
Mad Max,Horror,https://example.com/posters/Mad_Max.jpg,6.3
Black Panther,Sci-Fi,https://example.com/posters/Black_Panther.jpg,7.6
The Godfather,Thriller,https://example.com/posters/The_Godfather.jpg,8.0
Pulp Fiction,Action,https://example.com/posters/Pulp_Fiction.jpg,9.3
The Shawshank Redemption,Romance,https://example.com/posters/The_Shawshank_Redemption.jpg,10.6
The Silence of the Lambs,Comedy,https://example.com/posters/The_Silence_of_the_Lambs.jpg,6.0
Fight Club,Drama,https://example.com/posters/Fight_Club.jpg,7.3
La La Land,Horror,https://example.com/posters/La_La_Land.jpg,8.6
Parasite,Sci-Fi,https://example.com/posters/Parasite.jpg,9.0
Minions,Thriller,https://example.com/posters/Minions.jpg,10.3
Zootopia,Action,https://example.com/posters/Zootopia.jpg,6.6
Moana,Romance,https://example.com/posters/Moana.jpg,7.0
Inside Out,Comedy,https://example.com/posters/Inside_Out.jpg,8.3
Luca,Drama,https://example.com/posters/Luca.jpg,9.6
Encanto,Horror,https://example.com/posters/Encanto.jpg,10.0
Tenet,Sci-Fi,https://example.com/posters/Tenet.jpg,6.3
Dune,Thriller,https://example.com/posters/Dune.jpg,7.6
Nope,Action,https://example.com/posters/Nope.jpg,8.0
Us,Romance,https://example.com/posters/Us.jpg,9.3
Get Out,Comedy,https://example.com/posters/Get_Out.jpg,10.6
Everything Everywhere All At Once,Drama,https://example.com/posters/Everything_Everywhere_All_At_Once.jpg,6.0
1917,Horror,https://example.com/posters/1917.jpg,7.3
Jojo Rabbit,Sci-Fi,https://example.com/posters/Jojo_Rabbit.jpg,8.6
Knives Out,Thriller,https://example.com/posters/Knives_Out.jpg,9.0
